Factor	Core_group_value	edge	sig	Category	Kingdom
Pressure_low_Week2	Caulobacterales_RA	0.156856389	0.002571257	Climatic_conditions	Bacteria
Pressure_low_Week2	Propionibacteriales_RA	-0.118922192	0.017253428	Climatic_conditions	Bacteria
Pressure_low_Week3	Burkholderiales_RA	-0.022459458	0.026836694	Climatic_conditions	Bacteria
Pressure_low_Week3	Caulobacterales_RA	0.177326473	0.003137542	Climatic_conditions	Bacteria
Pressure_low_Week3	Propionibacteriales_RA	-0.136066704	0.026047811	Climatic_conditions	Bacteria
Pressure_low_Week4	Caulobacterales_RA	0.186568455	0.001887719	Climatic_conditions	Bacteria
Pressure_low_Week4	Hypocreales_RA	-0.140208754	0.005446664	Climatic_conditions	Fungi
Shannon_diversity_plant_communities	Hypocreales_RA	0.190194177	0.005747952	Plant_diversity	Fungi
Shannon_diversity_plant_communities	Rhizobiales_RA	-0.225617008	0.001413538	Plant_diversity	Bacteria
Sodium	Xylariales_RA	0.187847738	0.036119146	Soil_properties	Fungi
Soil_organic_matter	Helotiales_RA	0.05617401	0.008253775	Soil_properties	Fungi
Soil_organic_matter	Propionibacteriales_RA	0.119504567	0.00067407	Soil_properties	Bacteria
Soil_organic_matter	Solirubrobacterales_RA	0.017711433	0.047611448	Soil_properties	Bacteria
Temp_avg_Week1	Helotiales_RA	0.085666218	0.044152299	Climatic_conditions	Fungi
Temp_avg_Week1	Hypocreales_RA	-0.217151023	0.000335937	Climatic_conditions	Fungi
Temp_avg_Week1	Microtrichales_RA	0.157414918	0.014730524	Climatic_conditions	Bacteria
Temp_avg_Week1	Xylariales_RA	-0.206363268	0.026924387	Climatic_conditions	Fungi
Temp_avg_Week2	Caulobacterales_RA	-0.086093361	0.001302017	Climatic_conditions	Bacteria
Temp_avg_Week2	Propionibacteriales_RA	-0.097997496	0.025733865	Climatic_conditions	Bacteria
Temp_avg_Week2	Xylariales_RA	-0.130229672	0.009286465	Climatic_conditions	Fungi
Temp_avg_Week3	Caulobacterales_RA	-0.110186366	0.008274279	Climatic_conditions	Bacteria
Temp_avg_Week3	Propionibacteriales_RA	-0.197294255	0.000499233	Climatic_conditions	Bacteria
Temp_avg_Week3	Solirubrobacterales_RA	-0.173070828	0.039097737	Climatic_conditions	Bacteria
Temp_high_Week1	Hypocreales_RA	-0.132338476	0.006417122	Climatic_conditions	Fungi
Temp_high_Week1	Propionibacteriales_RA	0.080376725	0.021307579	Climatic_conditions	Bacteria
Temp_high_Week1	Xylariales_RA	-0.010606544	0.018785839	Climatic_conditions	Fungi
Temp_high_Week2	Caulobacterales_RA	-0.071053884	0.004649799	Climatic_conditions	Bacteria
Temp_high_Week2	Solirubrobacterales_RA	-0.190385252	0.000317912	Climatic_conditions	Bacteria
Temp_high_Week3	Helotiales_RA	0.101299244	0.026698654	Climatic_conditions	Fungi
Temp_high_Week4	Chaetothyriales_RA	0.203001628	0.023232631	Climatic_conditions	Fungi
Temp_low_Week1	Hypocreales_RA	-0.204494121	0.000109611	Climatic_conditions	Fungi
Temp_low_Week1	Xylariales_RA	-0.059290108	0.010082094	Climatic_conditions	Fungi
Temp_low_Week2	Caulobacterales_RA	-0.06620609	0.000224451	Climatic_conditions	Bacteria
Temp_low_Week2	Xylariales_RA	-0.171907287	0.007535252	Climatic_conditions	Fungi
Temp_low_Week3	Helotiales_RA	0.106281035	0.026467671	Climatic_conditions	Fungi
Temp_low_Week3	Rhizobiales_RA	0.208208307	0.037862375	Climatic_conditions	Bacteria
Temp_low_Week4	Caulobacterales_RA	-0.11356008	0.014802981	Climatic_conditions	Bacteria
Temp_low_Week4	Chaetothyriales_RA	0.106417244	0.016590603	Climatic_conditions	Fungi
Total_nitrogen	Propionibacteriales_RA	0.099904927	6.94E-05	Soil_properties	Bacteria
WHC	Burkholderiales_RA	-0.106296352	0.048974908	Soil_properties	Bacteria
Wind_high_Week1	Chaetothyriales_RA	-0.138071463	0.016208988	Climatic_conditions	Fungi
Wind_high_Week1	Propionibacteriales_RA	-0.074860697	0.011641739	Climatic_conditions	Bacteria
Wind_high_Week1	Xylariales_RA	0.043608866	0.028851493	Climatic_conditions	Fungi
Wind_high_Week2	Burkholderiales_RA	-0.146025296	0.049581144	Climatic_conditions	Bacteria
Wind_high_Week2	Caulobacterales_RA	-0.133569855	0.034258855	Climatic_conditions	Bacteria
Wind_high_Week2	Microtrichales_RA	-0.159660934	0.019164714	Climatic_conditions	Bacteria
Wind_high_Week2	Xylariales_RA	0.015002034	0.003708916	Climatic_conditions	Fungi
Wind_high_Week3	Chaetothyriales_RA	-0.243746819	0.000919818	Climatic_conditions	Fungi
Wind_high_Week3	Hypocreales_RA	-0.119432675	0.043100971	Climatic_conditions	Fungi
Wind_high_Week4	Caulobacterales_RA	-0.099919219	0.037931711	Climatic_conditions	Bacteria
Wind_high_Week4	Chaetothyriales_RA	-0.221225478	0.009640414	Climatic_conditions	Fungi
Wind_high_Week4	Xylariales_RA	0.028111895	0.038709803	Climatic_conditions	Fungi
Wind_low_Week1	Solirubrobacterales_RA	0.071837561	0.000949365	Climatic_conditions	Bacteria
Wind_low_Week2	Xylariales_RA	0.024309761	1.80E-10	Climatic_conditions	Fungi
Wind_low_Week3	Burkholderiales_RA	-0.174264934	0.048603144	Climatic_conditions	Bacteria
Wind_low_Week3	Solirubrobacterales_RA	0.186636848	0.003441459	Climatic_conditions	Bacteria
Wind_low_Week3	Sphingomonadales_RA	0.152116888	0.044207623	Climatic_conditions	Bacteria
Wind_low_Week4	Solirubrobacterales_RA	0.164385913	0.000639988	Climatic_conditions	Bacteria
Windgust_Week1	Chaetothyriales_RA	-0.208622753	0.00551707	Climatic_conditions	Fungi
Windgust_Week1	Helotiales_RA	0.143944413	0.043760907	Climatic_conditions	Fungi
Windgust_Week2	Burkholderiales_RA	-0.125014671	0.020024026	Climatic_conditions	Bacteria
Windgust_Week2	Microtrichales_RA	-0.089928255	0.031035357	Climatic_conditions	Bacteria
Windgust_Week3	Chaetothyriales_RA	-0.227928684	0.002470307	Climatic_conditions	Fungi
Windgust_Week3	Hypocreales_RA	-0.100290604	0.014533468	Climatic_conditions	Fungi
Windgust_Week3	Solirubrobacterales_RA	0.180149003	0.020065245	Climatic_conditions	Bacteria
Windgust_Week4	Chaetothyriales_RA	-0.193582836	0.038803903	Climatic_conditions	Fungi
Windgust_Week4	Helotiales_RA	0.202369554	1.22E-06	Climatic_conditions	Fungi
Aluminium	Microtrichales_number_ASVs	0.015290688	0.036950711	Soil_properties	Bacteria
