Var1	core	number_sites	mean	sd	se	Kingdom
9b8ac0946959b16945f433e75591a9b7	Chaetothyriales	10	0.008732631	0.012894902	0.004077726	Fungi
ee19fa63001f04fc910f12ba5a03388b	Hypocreales	30	0.002873222	0.004926069	0.000899373	Fungi
dc3647b8ba41430f5d9bd5a66c9f0d75	Hypocreales	14	0.004586852	0.007178973	0.001918661	Fungi
e9ff6ba6032177f3747f37044a6a969d	Helotiales	2	0.076442669	0.107796152	0.07622339	Fungi
ff1aebe2957ead05faae38bb014fd061	Pleosporales	14	0.004092275	0.004726196	0.001263129	Fungi
64190f323bd4b6d7dbdd8fb50eca6c66	Pleosporales	65	0.001153639	0.001476937	0.000183191	Fungi
5e93739d66f6cdc1e003166879179bba	Pleosporales	9	0.005470969	0.010909994	0.003636665	Fungi
7625ccf4d2b16cc73af668e2d46bd863	Pleosporales	14	0.004343554	0.005813413	0.0015537	Fungi
bb55592c60980bda3881288652a69306	Pleosporales	11	0.006296504	0.008114924	0.002446742	Fungi
6ee7597fd6add826bf7122238d7c634c	Pleosporales	38	0.003378029	0.006160181	0.000999313	Fungi
9c52719024279001ae37943e543212ea	Hypocreales	15	0.007725144	0.011193386	0.00289012	Fungi
5d9982fc711a7c6e6c483f4182cb1852	Chaetothyriales	8	0.00418627	0.006516561	0.002303952	Fungi
1b6d3f0f1a2085f375e9ebbdb78d6c41	Helotiales	4	0.012452008	0.016513946	0.008256973	Fungi
c550989173cab618dc1f7a799178f34a	Pleosporales	17	0.002539992	0.002938074	0.000712588	Fungi
5dd4ac298c6873233a7bef55739cf38b	Helotiales	8	0.006807216	0.013904673	0.004916044	Fungi
0dd5c217ada3f553c1037320871f85da	Hypocreales	58	0.001674501	0.001547299	0.00020317	Fungi
8df929fa021729a57695a4d953ccd02a	Hypocreales	5	0.01368521	0.021242215	0.009499808	Fungi
73e7d9a94b3c145c668cfc651aa1dde7	Chaetothyriales	2	0.022458396	0.005505595	0.003893044	Fungi
6392ab7ebe95994a64fa12066ae22eec	Pleosporales	26	0.006137845	0.023700946	0.004648138	Fungi
b9f3805ec48c10a4087495dfb105e28c	Pleosporales	10	0.005051495	0.006557984	0.002073817	Fungi
cc93426d1738cb3294a99c5ffe4b33ad	Chaetothyriales	35	0.002714621	0.003887253	0.000657066	Fungi
f01f821c349819659537320e48d3332c	Chaetothyriales	14	0.005937799	0.008583823	0.002294123	Fungi
48d766e17e7629bc0489b106a0da5b85	Chaetothyriales	7	0.007970793	0.013943555	0.005270168	Fungi
855327809bbb6fabd79d00fe10b00f8d	Chaetothyriales	3	0.016880241	0.016041998	0.009261852	Fungi
9283176eba295ad3ffb27381dd9f0c9d	Chaetothyriales	8	0.005209809	0.007340373	0.002595214	Fungi
ba1cfdf22f9b3ccbd3efbe66f39900f8	Pleosporales	9	0.018808435	0.039502036	0.013167345	Fungi
33b39aea14acccbab8d9eea61298d0d2	Pleosporales	11	0.004112956	0.005943901	0.001792154	Fungi
275e361f3738605295b9f38a2ba2b220	Hypocreales	1	0.030753408	NA	NA	Fungi
948379e07d8885442d29c57588cf1f51	Chaetothyriales	3	0.018289139	0.015853104	0.009152794	Fungi
b9ce9e57b30b35a5cc01b8d2a77232df	Chaetothyriales	12	0.00408069	0.003841446	0.00110893	Fungi
351032b0450d705ec9c1815061c2928f	Pleosporales	3	0.026494755	0.044704199	0.025809981	Fungi
5820c34ab04b8d0d42a73e1046a8c3ca	Pleosporales	1	0.072543488	NA	NA	Fungi
2dc4006fec89337e676bbd957a811959	Pleosporales	28	0.001840685	0.002473701	0.000467486	Fungi
b8f5f4c7630db54ec0da4466c18e79c9	Pleosporales	25	0.003908924	0.004000024	0.000800005	Fungi
6b7b94379928f6a2c3c10b960b0b0142	Pleosporales	29	0.002673556	0.003799542	0.000705557	Fungi
3ef6e324d5a3a853fa522e79d62f4b47	Chaetothyriales	17	0.006511344	0.016225055	0.003935154	Fungi
374db8cfcad7fe2d95e4402cbc5bdfa2	Chaetothyriales	16	0.004328296	0.00737937	0.001844843	Fungi
83df6dbe047fa72081378e259cfd0fb6	Xylariales	3	0.017478757	0.028827578	0.01664361	Fungi
9bf5432eb2950e2ee067ce14a66e456b	Chaetothyriales	1	0.029997369	NA	NA	Fungi
bae5f35c0867e8414428208bae9c8344	Pleosporales	16	0.009992416	0.011929245	0.002982311	Fungi
2ab5e9acc364c72cf894b2b1104f842a	Chaetothyriales	22	0.001852654	0.001435262	0.000305999	Fungi
362d60c5134458b01dab1f7b868657aa	Pleosporales	10	0.002113204	0.004102553	0.001297341	Fungi
5c211635cb3840e39d09d7e5087e1fed	Chaetothyriales	7	0.006753673	0.006615746	0.002500517	Fungi
fd17576c934aa97b0adcfb29675af4b6	Chaetothyriales	16	0.002401573	0.003376924	0.000844231	Fungi
d9a18779c4b964767b92b61aebaeb7ab	Pleosporales	6	0.009273382	0.018806084	0.007677552	Fungi
bbeb8f53312e3fe401d32a3355bd06ff	Hypocreales	26	0.003316759	0.007374006	0.001446161	Fungi
3abe2b406baebc3e499963e26f02e289	Pleosporales	18	0.002731235	0.005954881	0.001403579	Fungi
7b383a8bc0eb2d749d032eeefc345dbb	Chaetothyriales	13	0.005214434	0.005362288	0.001487231	Fungi
4435b9b859268c6bc83348c6d013a1eb	Xylariales	28	0.002689855	0.004992692	0.00094353	Fungi
8aec5bdf978ed214fe44322d93331b36	Xylariales	4	0.006422647	0.008744874	0.004372437	Fungi
8dfcd26486e0aab03ae160a3ba148f13	Chaetothyriales	22	0.003221033	0.003515225	0.000749448	Fungi
59aa81065205c97bfb236d968684a2ec	Pleosporales	14	0.004681128	0.009813918	0.00262288	Fungi
e6fe0d73b9e8448e2300b85b0557472e	Helotiales	1	0.014313231	NA	NA	Fungi
590b85cae5e5afda6f7b60a587859566	Hypocreales	19	0.006050694	0.01064386	0.002441869	Fungi
3dff9e0e19332fddbae2ee8c8799e92b	Helotiales	20	0.005503864	0.010024484	0.002241543	Fungi
75d3c506280f72964fe7e228e3231f72	Pleosporales	6	0.013623668	0.026047309	0.010633769	Fungi
a5249b2aabb0f3939f7fd00cac5e9575	Pleosporales	2	0.029872357	0.03983684	0.0281689	Fungi
aa1ad4b7cbc8dbd34f9b4866c20ba869	Helotiales	3	0.013346412	0.014659255	0.008463525	Fungi
d251e915df4eba1a9952122cbc6b6f41	Helotiales	6	0.005067499	0.007418598	0.00302863	Fungi
1b7b76748b624c55001a9f2718eee7f6	Chaetothyriales	2	0.048008759	0.015370279	0.010868428	Fungi
9f503d6cd7818a814ed1ee1b237b8f95	Helotiales	5	0.007665818	0.008592514	0.003842689	Fungi
e89c0901bf968eb1792b13056d03271e	Helotiales	3	0.030873132	0.05207763	0.030067033	Fungi
507391f4be5cec8e66ac04e692955004	Hypocreales	15	0.00363718	0.007042298	0.001818314	Fungi
2800eac07c1b68a94017ea7c82307ca0	Hypocreales	22	0.002651797	0.003788265	0.000807661	Fungi
00f6157f733c8539fd4d2a496f0a15e6	Pleosporales	30	0.002967928	0.004540219	0.000828927	Fungi
cc2092e19d748bf827bb8fbb6afe5e41	Chaetothyriales	4	0.013167659	0.025215813	0.012607906	Fungi
e3ea6fc4ebfe3ee7299e0856414ff07d	Chaetothyriales	7	0.011183679	0.012788262	0.004833509	Fungi
27497534b3719f897bf147e5b701f424	Chaetothyriales	1	0.015017716	NA	NA	Fungi
4bb089bba2a32d2b09bbba814b5d5189	Helotiales	6	0.008283459	0.018797528	0.007674059	Fungi
3911b5eec20d5ff5d436685e2c28f250	Chaetothyriales	11	0.005822793	0.00481117	0.001450622	Fungi
ca5a38e23d0eaec64f4a482b6bbb2025	Pleosporales	23	0.003471028	0.006601237	0.001376453	Fungi
1aaa4586f56b7134a0bd7c144f5c3cfe	Pleosporales	8	0.004845065	0.00862117	0.003048044	Fungi
53cc4a93c257a889cc48533678fa0407	Hypocreales	1	0.195085003	NA	NA	Fungi
85b436a0994c0e2a786bb071d052b6ef	Hypocreales	18	0.002408476	0.004090596	0.000964163	Fungi
517128b7deb45b5d25148f44eb29d3b2	Chaetothyriales	15	0.0017008	0.001933803	0.000499306	Fungi
13f5de488ba99f30369eac9240790b5b	Hypocreales	2	0.029472816	0.040417966	0.028579818	Fungi
643ff447e3f8600968e5c268c6c9e33a	Pleosporales	2	0.043434739	0.060703058	0.042923544	Fungi
79c4b58fefe22f39d74a1ec27d77a14a	Pleosporales	2	0.015132459	0.020707513	0.014642423	Fungi
c3e2bee7cedce256d2f671f37cf68e1e	Helotiales	8	0.004308578	0.009040471	0.003196289	Fungi
7a025ce67b1d60f74f13165f02aebe01	Pleosporales	11	0.00288011	0.004802673	0.00144806	Fungi
674bd643957a07c32e9eb3ca09694779	Helotiales	3	0.019225319	0.02356141	0.013603187	Fungi
270926db577c09553c7ea458b576a170	Pleosporales	4	0.00737624	0.009654451	0.004827226	Fungi
96bbdc44181147d30b2d76b250388738	Chaetothyriales	6	0.004827674	0.006544774	0.002671893	Fungi
51a161c3a1011b7fa51b3fe88494d9fa	Hypocreales	9	0.003500667	0.002836969	0.000945656	Fungi
19f4720cd62c3499531a87402ecbce67	Chaetothyriales	19	0.001648341	0.001702851	0.000390661	Fungi
a123d5a9ae638ee1bae214fee5c463c2	Pleosporales	1	0.035751142	NA	NA	Fungi
